,fullname,team,birthdate,country,height,weight,rider_url
1743,Nikita Stalnov,Astana Pro Team,1991-09-14,Kazakhstan,1.77,63.0,nikita-stalnov
1744,Ondřej Cink,noteam,1990-12-07,Czech Republic,1.8,66.0,ondrej-cink
1745,Andrea Garosio,Bahrain Merida,1993-12-06,Italy,1.75,58.0,andrea-garosio
1746,Jon Ander Insausti,noteam,1992-12-13,Spain,1.87,89.0,jon-ander-insausti
1747,Domen Novak,Bahrain Merida,1995-07-12,Slovenia,1.81,70.0,domen-novak
1748,Mark Padun,Bahrain Merida,1996-07-06,Ukraine,1.82,64.0,mark-padun
1749,David Per,Adria Mobil,1995-02-13,Slovenia,1.92,81.0,david-per
1750,Andrea Toniatti,Team Colpack,1992-08-13,Italy,0.0,0.0,andrea-toniatti
1751,Meiyin Wang,Bahrain Merida,1988-12-26,China,1.82,70.0,meiyin-wang
1752,Patrick Müller,noteam,1996-04-18,Switzerland,1.92,74.0,patrick-muller
1753,Nathan Van Hooydonck,CCC Team,1995-10-12,Belgium,1.93,78.0,nathan-van-hooydonck
1754,Bram Welten,Team Arkéa Samsic,1997-03-29,Netherlands,1.88,81.0,bram-welten
1755,Pascal Ackermann,BORA - hansgrohe,1994-01-17,Germany,1.8,78.0,pascal-ackermann
1756,Cyrus Monk,EvoPro Racing,1996-11-07,Australia,0.0,0.0,cyrus-monk
1757,Bruno Armirail,Groupama - FDJ,1994-04-11,France,1.9,69.0,bruno-armirail
1758,Romain Seigle,Groupama - FDJ,1994-10-11,France,0.0,0.0,romain-seigle
1759,Senne Leysen,Roompot - Charles,1996-03-18,Belgium,1.9,75.0,senne-leysen
1760,Rémy Mertz,Lotto Soudal,1995-07-17,Belgium,1.75,70.0,remy-mertz
1761,Emiel Planckaert,Sport Vlaanderen - Baloise,1996-10-22,Belgium,0.0,0.0,emiel-planckaert
1762,Mathias Van Gompel,Sport Vlaanderen - Baloise,1995-09-24,Belgium,1.8,70.0,mathias-van-gompel
1763,Enzo Wouters,Lotto Soudal,1996-03-21,Belgium,1.83,0.0,enzo-wouters
1764,Rémi Cavagna,Deceuninck - Quick Step,1995-08-10,France,1.86,78.0,remi-cavagna
1765,Álvaro José Hodeg,Deceuninck - Quick Step,1996-09-16,Colombia,1.86,76.0,alvaro-jose-hodeg
1766,Przemysław Kasperkiewicz,Delko Marseille Provence,1994-03-01,Poland,1.82,71.0,przemyslaw-kasperkiewicz
1767,Enric Mas,Deceuninck - Quick Step,1995-01-07,Spain,1.77,61.0,enric-mas
1768,Maximilian Schachmann,BORA - hansgrohe,1994-01-09,Germany,1.83,70.0,maximilian-schachmann
1769,Nic Dlamini,Team Dimension Data,1995-08-12,South Africa,1.77,66.0,nickolas-dlamini
1770,Ben O'Connor,Team Dimension Data,1995-11-25,Australia,1.88,66.0,ben-o-connor
1771,Piotr Havik,BEAT Cycling Club ,1994-07-07,Netherlands,1.85,73.0,piotr-havik
1772,Marco Mathis,"Cofidis, Solutions Crédits",1994-04-07,Germany,1.86,0.0,marco-mathis
1773,Mads Würtz Schmidt,Team Katusha Alpecin,1994-03-31,Denmark,1.76,62.0,mads-wurtz-schmidt
1774,Amund Grøndahl Jansen,Team Jumbo-Visma,1994-02-11,Norway,1.87,83.0,amund-grondahl-jansen
1775,Adriaan Janssen,Monkey Town - à Bloc CT,1995-12-12,Netherlands,1.95,76.0,adriaan-janssen
1776,Chris Hamilton,Team Sunweb,1995-05-18,Australia,1.78,0.0,chris-hamilton
1777,Lennard Hofstede,Team Jumbo-Visma,1994-12-29,Netherlands,0.0,0.0,lennard-hofstede
1778,Leon Rohde,Heizomat Rad-Net,1995-05-10,Germany,1.87,72.0,leon-rohde
1779,Nicola Conci,Trek - Segafredo,1997-01-05,Italy,0.0,0.0,nicola-conci
1780,Gregory Daniel,DCBank Pro Cycling Team,1994-11-08,United States,1.78,64.0,gregory-daniel
1781,Ruben Guerreiro,Team Katusha Alpecin,1994-07-06,Portugal,1.78,67.0,ruben-guerreiro
1782,Matteo Moschetti,Trek - Segafredo,1996-08-14,Italy,0.0,0.0,matteo-moschetti
1783,Ayden Toovey,Team BridgeLane,1995-11-08,Australia,0.0,0.0,ayden-toovey
1784,Anass Aït El Abdia,VIB Sports,1993-03-21,Morocco,1.8,66.0,anass-ait-el-abdia
1785,Simone Consonni,UAE-Team Emirates,1994-09-12,Italy,1.65,60.0,simone-consonni
1786,Seid Lizde,EvoPro Racing,1995-07-08,Bosnia and Herzegovina,1.83,70.0,seid-lizde
1787,Yousif Mirza,UAE-Team Emirates,1988-10-08,United Arab Emirates,1.76,73.0,yousef-mohamed-mirza
1788,Alexandr Riabushenko,UAE-Team Emirates,1995-10-12,Belarus,1.78,61.0,alexandr-riabushenko
1789,Francesco Romano,Bardiani - CSF,1997-07-09,Italy,0.0,0.0,francesco-romano
1790,Mattia Frapporti,Androni Giocattoli - Sidermec,1994-07-02,Italy,1.82,74.0,mattia-frapporti
1791,Matteo Malucelli,Caja Rural - Seguros RGA,1993-10-20,Italy,1.71,68.0,matteo-malucelli
1792,Kevin Rivera,Androni Giocattoli - Sidermec,1998-06-28,Costa Rica,1.65,56.0,kevin-rivera
1793,Iván Ramiro Sosa,Team INEOS,1997-10-31,Colombia,1.68,58.0,ivan-ramiro-sosa
1794,Matteo Spreafico,Androni Giocattoli - Sidermec,1993-02-15,Italy,1.82,69.0,matteo-spreafico
1795,Andrea Vendrame,Androni Giocattoli - Sidermec,1994-07-20,Italy,1.68,60.0,andrea-vendrame
1796,Mark Christian,Team Wiggins Le Col,1990-11-20,Great Britain,1.85,72.0,mark-christian
1797,Conor Dunne,Israel Cycling Academy,1992-01-22,Ireland,2.04,88.0,conor-dunne
1798,Aaron Gate,EvoPro Racing,1990-11-26,New Zealand,1.8,71.0,aaron-gate
1799,Daniel Pearson,Canyon dhb p/b Bloor Homes ,1994-02-26,Great Britain,1.65,53.0,daniel-pearson
1800,Vincenzo Albanese,Bardiani - CSF,1996-11-12,Italy,1.75,70.0,vincenzo-albanese
1801,Michael Bresciani,Bardiani - CSF,1994-12-20,Italy,0.0,0.0,michael-bresciani
1802,Marco Maronese,Bardiani - CSF,1994-12-25,Italy,0.0,0.0,marco-maronese
1803,Umberto Orsini,Bardiani - CSF,1994-12-06,Italy,0.0,0.0,umberto-orsini
1804,Nicolò Pacinotti,noteam,1995-02-05,Italy,0.0,0.0,nicolo-pacinotti
1805,Alex Aranburu,Caja Rural - Seguros RGA,1995-09-19,Spain,1.78,63.0,alex-aranburu
1806,Danilo Celano,Amore & Vita - Prodir,1989-12-07,Italy,0.0,0.0,danilo-celano
1807,Justin Oien,Arapahoe - Hincapie p/b BMC,1995-05-05,United States,1.79,68.0,justin-oien
1808,Óscar Pelegrí,Vito-Feirense-Pnb,1994-05-30,Spain,1.75,62.0,oscar-pelegri
1809,Rafael Reis,W52 / FC Porto ,1992-07-15,Portugal,1.9,72.0,rafael-reis
1810,Gonzalo Serrano,Caja Rural - Seguros RGA,1994-08-17,Spain,0.0,0.0,gonzalo-serrano
1811,Manuel Sola,noteam,1992-04-18,Spain,0.0,0.0,manuel-sola
1812,Michal Schlegel,Elkov - Author Cycling Team,1995-05-31,Czech Republic,1.84,72.0,michal-schlegel
1813,Jan Tratnik,Bahrain Merida,1990-02-23,Slovenia,1.73,67.0,jan-tratnik
1814,Fernando Barceló,Euskadi Basque Country - Murias,1996-01-06,Spain,1.73,62.0,fernando-barcelo
1815,Victor Lafay,"Cofidis, Solutions Crédits",1996-01-17,France,1.77,65.0,victor-lafay
1816,Tanguy Turgis,noteam,1998-05-16,France,1.71,61.0,tanguy-turgis
1817,Jonathan Couanon,noteam,1997-04-08,France,0.0,0.0,jonathan-couanon
1818,Benjamin Dyball,Team Sapura Cycling,1989-04-20,Australia,1.83,63.0,benjamin-dyball
1819,Emīls Liepiņš,Wallonie-Bruxelles,1992-10-29,Latvia,1.75,67.0,emils-liepins
1820,Jhon Anderson Rodríguez,EPM,1996-10-12,Colombia,1.72,62.0,john-anderson-rodriguez
1821,Mathieu Burgaudeau,Team Total Direct Energie,1998-11-17,France,1.65,62.0,mathieu-burgaudeau
1822,Florian Maitre,noteam,1996-09-03,France,0.0,0.0,florian-maitre
1823,Clément Orceau,Team Total Direct Energie,1995-07-01,France,0.0,0.0,clement-orceau
1824,Thibault Guernalec,Team Arkéa Samsic,1997-07-31,France,1.85,71.0,thibault-guernalec
1825,Kenny Molly,Wallonie-Bruxelles,1996-12-24,Belgium,1.71,63.0,kenny-molly
1826,Alan Riou,Team Arkéa Samsic,1997-04-02,France,1.76,68.0,alan-riou
1827,Nikolay Cherkasov,Gazprom-RusVelo,1996-09-26,Russia,0.0,0.0,nikolay-cherkasov
1828,Evgeny Kobernyak,Gazprom-RusVelo,1995-01-24,Russia,1.7,59.0,evgeny-kobernyak
1829,Stepan Kurianov,Gazprom-RusVelo,1996-12-07,Russia,0.0,0.0,stepan-kurianov
1830,José Manuel Díaz,Team Vorarlberg Santic,1995-01-18,Spain,1.77,62.0,jose-manuel-diaz-gallego
1831,Itamar Einhorn,Israel Cycling Academy,1997-09-20,Israel,0.0,0.0,itamar-einhorn
1832,Roy Goldstein,Israel Cycling Academy,1993-05-20,Israel,1.74,63.0,roy-goldstein
1833,Luis Lemus,noteam,1992-04-21,Mexico,1.73,61.0,luis-lemus
1834,Krists Neilands,Israel Cycling Academy,1994-08-18,Latvia,1.89,69.0,krists-neilands
1835,Guy Niv,Israel Cycling Academy,1994-03-08,Israel,1.68,58.0,guy-niv
1836,Ben Perry,Israel Cycling Academy,1994-03-07,Canada,1.8,70.0,ben-perry
1837,Mihkel Räim,Israel Cycling Academy,1993-07-03,Estonia,1.76,69.0,mihkel-raim
1838,Guy Sagiv,Israel Cycling Academy,1994-12-05,Israel,1.79,68.0,guy-sagiv
1839,Nícolas Sessler,Burgos-BH,1994-04-29,Brazil,0.0,0.0,nicolas-sessler
1840,Daniel Turek,Israel Cycling Academy,1993-01-19,Czech Republic,1.83,72.0,daniel-turek
1841,Tyler Williams,noteam,1994-11-17,United States,1.8,73.0,tyler-williams
1842,Aviv Yechezkel,noteam,1994-04-21,Israel,1.75,70.0,aviv-yechezkel
1843,Hernán Ricardo Aguirre,Interpro Cycling Academy,1995-12-13,Colombia,1.71,55.0,hernan-aguirre
1844,Juan José Amador,noteam,1998-04-20,Colombia,1.79,63.0,juan-jose-amador-castano
1845,Hernando Bohórquez,Astana Pro Team,1992-06-22,Colombia,1.78,68.0,hernando-bohorquez
1846,Luis Carlos Chia,noteam,1997-02-18,Colombia,0.0,0.0,luis-carlos-chia-bermudez
1847,Jhojan García,Medellin,1998-01-10,Colombia,1.68,55.0,jhojan-garcia
1848,Sergio Higuita,EF Education First,1997-08-01,Colombia,1.66,57.0,sergio-higuita
1849,Fernando Orjuela,noteam,1991-11-04,Colombia,1.68,60.0,fernando-orjuela
1850,Juan Felipe Osorio,UD Oliveirense/InOutbuild,1995-01-30,Colombia,1.8,65.0,juan-felipe-osorio
1851,Wilmar Paredes,noteam,1996-04-27,Colombia,1.79,66.0,wilmar-paredes
1852,Aldemar Reyes,GW - Shimano,1995-04-22,Colombia,1.7,55.0,aldemar-reyes
1853,Ever Alexander Rivera,noteam,1992-12-27,Colombia,0.0,0.0,ever-alexander-rivera
1854,Cristian Stiven Ruiz Pelaez,Orgullo Paisa,1997-05-17,Colombia,0.0,0.0,cristian-stiven-ruiz-pelaez
1855,Yecid Sierra,Tianyoude Hotel Cycling Team,1994-08-16,Colombia,1.84,66.0,yecid-sierra
1856,Bernardo Suaza,noteam,1992-11-28,Colombia,1.74,66.0,bernardo-suaza
1857,Juan Pablo Villegas,noteam,1987-10-15,Colombia,1.78,73.0,juan-villegas
1858,Joan Bou,Nippo Vini Fantini Faizanè,1997-01-16,Spain,0.0,0.0,joan-bou
1859,Damiano Cima,Nippo Vini Fantini Faizanè,1993-09-13,Italy,0.0,0.0,damiano-cima
1860,Masakazu Ito,Nippo Vini Fantini Faizanè,1988-06-12,Japan,0.0,0.0,masakazu-ito
1861,Hideto Nakane,Nippo Vini Fantini Faizanè,1990-05-02,Japan,0.0,0.0,hideto-nakane
1862,Hiroki Nishimura,Nippo Vini Fantini Faizanè,1994-10-20,Japan,0.0,0.0,hiroki-nishimura
1863,Kohei Uchima,Team UKYO,1988-11-08,Japan,1.7,63.0,kohei-uchima
1864,Tim Ariesen,Taiyuan Miogee Cycling Team,1994-03-20,Netherlands,1.82,70.0,tim-ariesen
1865,Martijn Budding,BEAT Cycling Club ,1995-08-31,Netherlands,1.87,73.0,martijn-budding
1866,Jeroen Meijers,Taiyuan Miogee Cycling Team,1993-01-12,Netherlands,1.81,68.0,jeroen-meijers
1867,Elmar Reinders,Roompot - Charles,1992-03-14,Netherlands,1.91,78.0,elmar-reinders
1868,Oscar Riesebeek,Roompot - Charles,1992-12-23,Netherlands,1.91,75.0,oscar-riesebeek
1869,Taco van der Hoorn,Team Jumbo-Visma,1993-12-04,Netherlands,1.87,75.0,taco-van-der-hoorn
1870,Lauro Cesar Chaman Mouro,noteam,1987-06-25,Brazil,0.0,0.0,lauro-cesar-chaman
1871,Andre  Eduardo Gohr,noteam,1996-08-15,Brazil,1.9,73.0,andre-eduardo-gohr
1872,Breno Morais Santos,noteam,1997-03-16,Brazil,1.76,72.0,breno-morais-santos
1873,Raphael Pires,noteam,1997-01-16,Brazil,1.78,63.0,raphael-pires
1874,Victor Ranghetti,noteam,1998-12-28,Brazil,1.74,62.0,victor-ranghetti
1875,Lincoln Do Vale Silva,noteam,1997-04-11,Brazil,1.68,0.0,lincoln-do-vale
1876,Daniel Silva,Radio Popular Boavista,1985-06-08,Portugal,1.82,59.0,daniel-silva
1877,Lindsay De Vylder,Sport Vlaanderen - Baloise,1995-05-30,Belgium,1.83,70.0,lindsay-de-vijlder
1878,Benjamin Declercq,Sport Vlaanderen - Baloise,1994-02-04,Belgium,1.82,67.0,benjamin-declercq
1879,Christophe Noppe,Sport Vlaanderen - Baloise,1994-11-29,Belgium,1.76,73.0,christophe-noppe
1880,Edward Planckaert,Sport Vlaanderen - Baloise,1995-02-01,Belgium,1.75,67.0,edward-planckaert
1881,Sam Brand,Team Novo Nordisk,1991-02-27,Great Britain,1.83,0.0,sam-brand
1882,Romain Gioux,noteam,1986-09-06,France,1.6,0.0,romain-gioux
1883,Reid McClure,noteam,1995-11-10,Canada,0.0,0.0,reid-mcclure
1884,Umberto Poli,Team Novo Nordisk,1996-08-27,Italy,1.68,0.0,umberto-poli
1885,Alexander Cataford,Israel Cycling Academy,1993-09-01,Canada,1.82,69.0,alexander-cataford
1886,Travis McCabe,Floyd's Pro Cycling,1989-05-12,United States,0.0,0.0,travis-mccabe
1887,Dries De Bondt,Corendon - Circus,1991-07-04,Belgium,1.84,72.0,dries-de-bondt
1888,Timothy Dupont,Wanty - Gobert Cycling Team,1987-11-01,Belgium,1.79,71.0,timothy-dupont
1889,Stan Godrie,noteam,1993-01-09,Netherlands,1.78,74.0,stan-godrie
1890,Jappe Jaspers,noteam,1998-09-01,Belgium,1.74,64.0,jappe-jaspers
1891,Arjen Livyns,Roompot - Charles,1994-09-01,Belgium,0.0,58.0,arjen-livyns
1892,Tim Merlier,Corendon - Circus,1992-10-30,Belgium,1.85,74.0,tim-merlier
1893,Lennert Teugels,Cibel,1993-04-09,Belgium,0.0,0.0,lennert-teugels
1894,Wout van Aert,Team Jumbo-Visma,1994-09-15,Belgium,1.87,78.0,wout-van-aert
1895,Elias Van Breussegem,Tarteletto - Isorex,1992-04-10,Belgium,1.79,70.0,elias-van-breussegem
1896,Stef Van Zummeren,noteam,1991-12-20,Belgium,1.88,73.0,stef-van-zummeren
1897,Jasper De Laat,noteam,1994-02-17,Netherlands,0.0,0.0,jasper-de-laat
1898,Brecht Dhaene,noteam,1988-11-21,Belgium,0.0,0.0,brecht-dhaene
1899,Thomas Gibbons,noteam,1989-12-06,United States,0.0,0.0,thomas-gibbons
1900,Ludwig De Winter,Wanty - Gobert Cycling Team,1992-12-31,Belgium,1.87,80.0,ludwig-de-winter
1901,Tom Dernies,Natura4Ever - Roubaix Lille Métropole,1990-11-22,Belgium,1.8,68.0,tom-dernies
1902,Thomas Deruette,Team Differdange - GeBa,1995-07-06,Belgium,1.82,70.0,thomas-deruette
1903,Jimmy Duquennoy,noteam,1995-06-09,Belgium,1.79,75.0,jimmy-duquennoy
1904,Justin Jules,Wallonie-Bruxelles,1986-09-20,France,1.67,64.0,justin-jules
1905,Christophe Masson,Natura4Ever - Roubaix Lille Métropole,1985-09-06,France,1.81,68.0,christophe-masson
1906,Julien Mortier,Wallonie-Bruxelles,1997-07-20,Belgium,1.83,66.0,julien-mortier
1907,Lawrence Naesen,Lotto Soudal,1992-08-28,Belgium,1.9,72.0,lawrence-naesen
1908,Olivier Pardini,noteam,1985-07-30,Belgium,1.8,68.0,olivier-pardini
1909,Dimitri Peyskens,Wallonie-Bruxelles,1991-11-26,Belgium,1.82,70.0,dimitri-peyskens
1910,Ludovic Robeet,Wallonie-Bruxelles,1994-05-22,Belgium,1.94,75.0,ludovic-robeet
1911,Lukas Spengler,noteam,1994-09-16,Switzerland,1.88,78.0,lukas-spengler
1912,Julien Stassen,noteam,1988-10-20,Belgium,1.82,66.0,julien-stassen
1913,Lionel Taminiaux,Wallonie-Bruxelles,1996-05-21,Belgium,1.73,72.0,lionel-taminiaux
1914,Antoine Warnier,noteam,1993-06-24,Belgium,1.83,71.0,antoine-warnier
1915,Yuri Colonna,noteam,1996-10-09,Italy,0.0,0.0,yuri-colonna
1916,Miguel Eduardo Florez,Androni Giocattoli - Sidermec,1996-02-21,Colombia,1.74,57.0,miguel-eduardo-florez
1917,Mattia Marcelli,noteam,1991-07-30,Italy,0.0,0.0,mattia-marcelli
1918,Luca Raggio,Neri Sottoli - Selle Italia - KTM,1995-03-26,Italy,0.0,0.0,luca-raggio
1919,Alex Turrin,noteam,1992-06-03,Italy,0.0,0.0,alex-turrin
1920,Geoffrey Bouchard,AG2R La Mondiale,1992-04-01,France,1.77,64.0,geoffrey-bouchard
1921,Clément Champoussin,AG2R La Mondiale,1998-05-29,France,1.8,60.0,clement-champoussin
1922,Aurélien Paret-Peintre,AG2R La Mondiale,1996-02-27,France,1.84,64.0,aurelien-paret-peintre
1923,Nicolas Prodhomme,noteam,1997-02-01,France,1.74,63.0,nicolas-prodhomme
1924,Jonas Gregaard,Astana Pro Team,1996-07-30,Denmark,1.86,66.0,jonas-gregaard
1925,Hermann Pernsteiner,Bahrain Merida,1990-08-07,Austria,1.68,65.0,hermann-pernsteiner
1926,Maxim Pirard,noteam,1997-07-31,Belgium,0.0,0.0,maxim-pirard
1927,Stephen Williams,Bahrain Merida,1996-06-09,Great Britain,1.83,59.0,stephen-williams
1928,Alexander Evans,SEG Racing Academy,1997-01-28,Australia,1.83,63.0,alexander-evans
1929,Freddy Ovett,Pro Racing Sunshine Coast,1994-01-16,Australia,0.0,0.0,freddy-ovett
1930,Johannes Schinnagel,Maloja Pushbikers,1996-05-29,Germany,1.88,68.0,johannes-schinnagel
1931,Alexys Brunel,Equipe continentale Groupama-FDJ,1998-10-10,France,1.9,80.0,alexys-brunel
1932,Clément Davy,Equipe continentale Groupama-FDJ,1998-07-17,France,1.84,73.0,clement-davy
1933,Benjamin Thomas,Groupama - FDJ,1995-09-12,France,1.79,68.0,benjamin-thomas-2
1934,Stan Dewulf,Lotto Soudal,1997-12-20,Belgium,1.74,75.0,stan-dewulf
1935,Bjorg Lambrecht,noteam,1997-04-02,Belgium,1.69,56.0,bjorg-lambrecht
1936,Gerben Thijssen,Lotto Soudal,1998-06-21,Belgium,0.0,0.0,gerben-thijssen-bel
1937,Brent Van Moer,Lotto Soudal,1998-01-12,Belgium,0.0,0.0,brent-van-moer
1938,Harm Vanhoucke,Lotto Soudal,1997-06-17,Belgium,0.0,0.0,harm-vanhoucke
1939,Brayan Chaves,Mitchelton - BikeExchange,1997-05-30,Colombia,0.0,0.0,brayan-chaves
1940,Lucas Hamilton,Mitchelton-Scott,1996-02-12,Australia,0.0,0.0,lucas-hamilton
1941,Robert Stannard,Mitchelton-Scott,1998-09-16,Australia,0.0,0.0,robert-stannard
1942,Xiaolong Sun,noteam,1994-05-18,China,0.0,0.0,xiaolong-sun
1943,Jorge Arcas,Movistar Team,1992-07-08,Spain,1.87,68.0,jorge-arcas
1944,Nuno Bico,Burgos-BH,1994-07-03,Portugal,1.81,64.0,nuno-bico
1945,Richard Carapaz,Movistar Team,1993-05-29,Ecuador,1.7,62.0,richard-carapaz
1946,Héctor Carretero,Movistar Team,1995-05-28,Spain,1.83,67.0,hector-carretero
1947,Jaime Castrillo,Movistar Team,1996-03-13,Spain,1.86,65.0,jaime-castrillo
1948,Antonio Pedrero,Movistar Team,1991-10-23,Spain,1.77,60.0,antonio-pedrero
1949,Marc Soler,Movistar Team,1993-11-22,Spain,1.86,68.0,marc-soler
1950,Kasper Asgreen,Deceuninck - Quick Step,1995-02-08,Denmark,1.92,75.0,kasper-asgreen
1951,Mikkel Frølich Honoré,Deceuninck - Quick Step,1997-01-21,Denmark,1.85,68.0,mikkel-honore
1952,Fabio Jakobsen,Deceuninck - Quick Step,1996-08-31,Netherlands,1.81,78.0,fabio-jakobsen
1953,James Knox,Deceuninck - Quick Step,1995-11-04,Great Britain,1.73,58.0,james-knox
1954,Jhonatan Narváez,Team INEOS,1997-03-04,Ecuador,1.74,0.0,jhonatan-narvaez
1955,Barnabás Peák,SEG Racing Academy,1998-11-29,Hungary,1.83,74.0,barnabas-peak
1956,Scott Davies,Team Dimension Data,1995-08-05,Great Britain,1.84,66.0,scott-davies
1957,Kent Main,ProTouch,1996-01-08,South Africa,0.0,0.0,kent-main
1958,Matteo Sobrero,Dimension Data for Qhubeka,1997-05-14,Italy,0.0,0.0,matteo-sobrero
1959,Connor Swift,Team Arkéa Samsic,1995-10-30,Great Britain,0.0,0.0,connor-swift
1960,Julián Cardona,Androni Giocattoli - Sidermec,1997-01-19,Colombia,0.0,0.0,julian-cardona-tabares
1961,Kim Magnusson,Riwal Readynez Cycling Team,1992-08-31,Sweden,0.0,0.0,kim-magnusson
1962,José Carlos Prates Neves Fernandes,Burgos-BH,1995-10-30,Portugal,0.0,0.0,jose-fernandes
1963,Logan Owen,EF Education First,1995-03-25,United States,1.8,67.0,logan-owen
1964,Julius van den Berg,EF Education First,1996-10-23,Netherlands,1.89,78.0,julius-van-den-berg
1965,James Whelan,EF Education First,1996-07-11,Australia,1.86,65.0,james-whelan
1966,Steff Cras,Team Katusha Alpecin,1996-02-13,Belgium,1.83,64.0,steff-cras
1967,Matteo Fabbro,Team Katusha Alpecin,1995-04-10,Italy,1.67,52.0,matteo-fabbro
1968,Kenny Nijssen,noteam,1990-09-06,Netherlands,0.0,0.0,kenny-nijssen
1969,Willie Smit,Team Katusha Alpecin,1992-12-29,South Africa,1.8,72.0,willie-smit
1970,Dmitry Strakhov,Team Katusha Alpecin,1995-05-17,Russia,1.85,70.0,dmitry-strakhov
1971,Pascal Eenkhoorn,Team Jumbo-Visma,1997-02-08,Netherlands,1.85,70.0,pascal-eenkhoorn
1972,Sepp Kuss,Team Jumbo-Visma,1994-09-13,United States,1.8,64.0,sepp-kuss
1973,Jan Maas,Leopard Pro Cycling ,1996-02-19,Netherlands,1.88,70.0,jan-maas
1974,Neilson Powless,Team Jumbo-Visma,1996-09-03,United States,1.83,67.0,neilson-powless
1975,Mark Donovan,Team Wiggins Le Col,1999-04-03,Great Britain,0.0,0.0,mark-donovan
1976,Eddie Dunbar,Team INEOS,1996-09-01,Ireland,1.7,57.0,edward-irl-dunbar
1977,Kristoffer Halvorsen,Team INEOS,1996-04-13,Norway,1.76,0.0,kristoffer-halvorsen
1978,Ethan Hayter,noteam,1998-09-18,Great Britain,0.0,0.0,ethan-hayter
1979,Chris Lawless,Team INEOS,1995-11-04,Great Britain,1.81,72.0,christopher-lawless
1980,Pavel Sivakov,Team INEOS,1997-07-11,Russia,1.88,0.0,pavel-sivakov
1981,Cees Bol,Team Sunweb,1995-07-27,Netherlands,1.94,0.0,cees-bol
1982,Nils Eekhoff,Development Team Sunweb,1998-01-23,Netherlands,0.0,0.0,nils-eekhoff
1983,Jai Hindley,Team Sunweb,1996-05-05,Australia,1.75,0.0,jai-hindley
1984,Michael Storer,Team Sunweb,1997-02-28,Australia,0.0,0.0,michael-storer
1985,Niklas Eg,Trek - Segafredo,1995-01-06,Denmark,0.0,0.0,niklas-eg
1986,Alex Frame,Trek - Segafredo,1993-06-18,New Zealand,0.0,0.0,alex-frame
1987,Michel Ries,Kometa Cycling Team,1998-03-11,Luxembourg,1.84,67.0,michel-ries
1988,Andrea Bagioli,Team Colpack,1999-03-23,Italy,0.0,0.0,andrea-bagioli
1989,Alessandro Covi,Team Colpack,1998-09-28,Italy,0.0,0.0,alessandro-covi
1990,German Nicolás Tivani,Agrupacion Virgen De Fatima,1995-10-31,Argentina,1.76,67.0,german-nicolas-tivani-perez
1991,Casper Pedersen,Team Sunweb,1996-03-15,Denmark,1.86,0.0,casper-pedersen
1992,Giovanni Carboni,Bardiani - CSF,1995-08-31,Italy,1.77,61.0,giovanni-carboni
1993,Daniel Savini,Bardiani - CSF,1997-09-26,Italy,0.0,0.0,daniel-savini
1994,Óscar Cabedo,Burgos-BH,1994-11-12,Spain,0.0,0.0,oscar-cabedo
1995,Jorge Cubero,Burgos-BH,1992-11-06,Spain,0.0,0.0,jorge-cubero
1996,Jesús Ezquerra,Burgos-BH,1990-11-30,Spain,1.85,67.0,jesus-ezquerra-muela
1997,Ángel Fuentes,Burgos-BH,1996-11-05,Spain,0.0,0.0,paniego-fuentes
1998,Adrián González,noteam,1992-09-13,Spain,1.71,63.0,adrian-gonzalez
1999,Victor Langellotti,Burgos-BH,1995-06-07,Monaco,0.0,0.0,victor-langellotti
2000,Daniel López,Burgos-BH,1994-01-21,Spain,0.0,0.0,daniel-lopez
2001,Igor Merino,noteam,1990-10-16,Spain,0.0,0.0,igor-merino
2002,James Mitri,Burgos-BH,1999-02-28,New Zealand,0.0,0.0,james-mitri
2003,Gabriel Pons,noteam,1997-09-04,Spain,0.0,0.0,gabriel-pons
2004,Álvaro Robredo,Burgos-BH,1993-04-03,Spain,0.0,0.0,alvaro-robredo
2005,Pablo Torres,Interpro Cycling Academy,1987-11-28,Spain,1.74,63.5,pablo-torres
2006,Álvaro Cuadros,Caja Rural - Seguros RGA,1995-04-12,Spain,1.79,67.0,alvaro-cuadros
2007,Mauricio Moreira,Caja Rural - Seguros RGA,1995-07-18,Uruguay,1.89,76.0,mauricio-moreira
2008,Joaquim Silva,W52 / FC Porto ,1992-03-19,Portugal,1.85,67.0,joaquim-silva
2009,Nelson Andrés Soto,Caja Rural - Seguros RGA,1994-06-19,Colombia,0.0,0.0,nelson-soto
2010,Yannis Yssaad,noteam,1993-06-25,France,0.0,0.0,yannis-yssaad
2011,Amaro Antunes,CCC Team,1990-11-27,Portugal,1.73,58.0,amaro-manuel-antunes
2012,Szymon Sajnok,CCC Team,1997-08-24,Poland,1.84,75.0,szymon-sajnok
2013,Emmanuel Morin,"Cofidis, Solutions Crédits",1995-03-13,France,1.78,72.0,emmanuel-morin
2014,Antonio Puppio,Kometa Cycling Team,1999-04-28,Italy,0.0,0.0,antonio-puppio
2015,Anders Skaarseth,Uno-X Norwegian Development Team,1995-05-07,Norway,0.0,0.0,anders-skaarseth
2016,Joseph Areruya,Delko Marseille Provence,1996-01-01,Rwanda,1.76,74.0,joseph-areruya
2017,Alessandro Fedeli,Delko Marseille Provence,1996-03-02,Italy,1.85,64.0,alessandro-fedeli
2018,Jérémy Leveau,Delko Marseille Provence,1992-04-17,France,0.0,0.0,jeremy-leveau
